,MlsNumber,LivingArea,YearBuilt,MunicipalTax,SchoolTax,CondoFees,HeatingEnergy,HeatingSystem,Proximity,SewageSystem,LotAssessment,BuildingAssessment,Pool,View,Garage,Parking,Zoning,Area,WaterSupply,LotDepth,LotFrontage,MunicipalAssessment,FloorCovering,Topography,Insurance
61,11436238,653.0,,,,$948,,,,Municipal sewer,,,,,,,Residential,,,,,,,,
62,11511079,1263.0,2004,"$4,174, (2014)","$909, (2014)","$8,712",Electricity,Electric baseboard units,"University, Public transport",Municipal sewer,,,,City,"Single width, Proximity",Garage,Residential,,,,,,,,
63,11529886,,1910,"$8,617, (2014)","$1,855, (2014)",,"Heating oil, Electricity",Hot water,"University, Public transport",Municipal sewer,"$522,600","$577,300",,,,Outdoor,Residential,696.80 Square metres,,,,,,,
64,11532933,694.0,,,,$1,Electricity,Electric baseboard units,Public transport,Municipal sewer,,,,,,,Residential,"2,162.00 Square Feet",,,,,,,
65,11549161,2300.0,,,,,Electricity,"Electric baseboard units, Air circulation","Public transport, Park - green area",Municipal sewer,,,,,"New Construction:, Yes, Proximity","New Construction:, Yes, Outdoor, Garage",Residential,"5,095.00 Square Feet",,,,,,,
66,11576427,,1982,"$1,914, (2014)","$396, (2014)","$1,360",Electricity,Electric baseboard units,"Public transport, Park - green area",Municipal sewer,"$35,400","$191,000",,,"Fitted, Proximity","Outdoor, Garage",Residential,,,,,,,,
67,11590203,,1919,"$2,623, (2014)","$509, (2013)",,Electricity,Electric baseboard units,Public transport,Municipal sewer,"$104,000","$212,700",,,,Outdoor,Residential,"2,000.00 Square Feet",,,,,,,
68,11607848,849.0,2014,,,"$2,352",Electricity,Electric baseboard units,University,Municipal sewer,,,,,,,Residential,,,,,,,,
69,11626378,2200.0,1962,,,,,,,Municipal sewer,,,,,,,Commercial,,,,,,,,
70,11627334,2130.0,,,,"$10,380",Bi-energy,Air circulation,University,Municipal sewer,,,Other - Indoor Uv Flitered,,Pool,Garage,Residential,,,,,,,,
71,11642369,1836.0,1989,"$4,271, (2014)","$919, (2014)","$7,332",Electricity,"Electric baseboard units, Air circulation","University, Public transport",Municipal sewer,"$80,800","$450,800",Indoor,City,"Fitted, Pool",Garage,Residential,,,,,,,,
72,11667336,904.1676,2012,,,$137,Electricity,Electric baseboard units,Public transport,Municipal sewer,,,,,,,Residential,,,,,,,,
73,11763814,2675.0,,,,"$12,048",Electricity,Electric baseboard units,,Municipal sewer,,,,,,,,,,,,,,,
74,11768559,750.0,,,,"$3,936",,,"University, Public transport",Municipal sewer,,,"Inground, Indoor",,Pool,Garage,,,,,,,,,
75,11768568,574.0,,,,$1,Electricity,Electric baseboard units,"University, Park - green area",Municipal sewer,,,"Indoor, Heated",City,,,Residential,,,,,,,,
76,11843526,,1956,"$11,504, (2014)","$2,603, (2014)",,Natural gas,Hot water,,Municipal sewer,"$516,300","$1,057,500",,,,Outdoor,Residential,351.20 Square metres,,,,,,,
77,11876195,605.0,,,,"$2,580",,,University,Municipal sewer,,,Inground,Water,,,,,,,,,,,
78,11895576,,1967,"$2,355, (2014)","$479, (2014)",,Heating oil,Air circulation,Public transport,Municipal sewer,"$106,800","$169,600",,,,"New Construction:, No, Outdoor",Residential,"4,995.00 Square Feet",,,,,,,
79,11917425,1655.0,1840,"$6,837, (2014)","$1,501, (2014)","$6,708",Electricity,Electric baseboard units,,Municipal sewer,"$175,700","$594,500",,"Water, Panoramic","Single width, Sewage System",Garage,Residential,,,,,,,,
80,11925179,935.0,2008,"$1,945, (2014)","$495, (2014)","$1,764",Electricity,Electric baseboard units,Public transport,Municipal sewer,"$32,800","$163,600",,"Panoramic, Other","Heated, Proximity",Garage,Residential,1.00 Square Feet,,,,,,,
81,11958780,,1976,"$6,128, (2014)","$1,302, (2014)",,Electricity,Electric baseboard units,Public transport,Municipal sewer,"$243,400","$489,800",,,"Double width or more, Proximity",Outdoor,Residential,"5,238.00 Square Feet",,,,,,,
82,11985277,1230.0,1926,"$3,492, (2013)","$766, (2012)","$3,876",,Electric baseboard units,"University, Public transport",Municipal sewer,,,,,,,,,,,,,,,
83,12014049,697.0,2009,"$1,518, (2014)","$327, (2014)","$1,452",Electricity,,"Public transport, Park - green area",Municipal sewer,"$19,800","$168,100",,,,,Residential,,,,,,,,
84,12031518,1230.0,1959,"$3,564, (2014)","$659, (2013)",,Heating oil,Hot water,,Municipal sewer,"$122,600","$249,400",,,"Single width, Roofing",Outdoor,Residential,"3,299.00 Square Feet",,,,,,,
85,12081453,1173.2650999999998,1985,"$2,656, (2013)","$544, (2013)",,Electricity,Electric baseboard units,"Public transport, Park - green area",Municipal sewer,"$139,000","$204,500",,,"Fitted, Proximity","Outdoor, Garage",Residential,545.20 Square metres,,,,,,,
86,12110790,749.0,2014,,,$110,,,,Municipal sewer,,,,,,,Residential,,,,,,,,
87,12161791,3358.3368,1988,"$7,090, (2014)","$372, (2014)","$2,670",Natural gas,Air circulation,Public transport,Municipal sewer,"$54,900","$172,100",,,,Outdoor,"Industrial, Commercial",209.00 Square metres,,,,,,,
88,12213995,,,"$6,917, (2014)","$1,448, (2014)",,Electricity,Electric baseboard units,University,Municipal sewer,,,,"Panoramic, City",,Outdoor,Residential,"2,475.00 Square Feet",,,,,,,
89,12240735,,1959,"$3,600, (2014)","$668, (2014)",,,,,Municipal sewer,"$115,600","$260,400",,,,,Residential,"4,685.00 Square Feet",,,,,,,
90,12263590,,1964,"$3,847, (2014)","$866, (2014)",,Heating oil,Hot water,"University, Public transport",Municipal sewer,"$157,100","$350,900",Above-ground,Water,,,Residential,"3,956.00 Square Feet",,,,,,,
91,12265962,1390.0,1990,"$2,953, (2014)","$703, (2015)","$3,960",Electricity,Electric baseboard units,"Public transport, Park - green area",Municipal sewer,,,"Indoor, Heated",Panoramic,"Single width, Heated, Pool",Garage,Residential,"1,500.00 Square Feet",,,,,,,
92,12275174,,1956,"$2,850, (2013)","$450, (2014)",,,,,Municipal sewer,"$159,000","$181,000",,,,,Residential,,,,,,,,
93,12286416,,1929,"$3,675, (2014)","$760, (2014)",,Electricity,Electric baseboard units,,Municipal sewer,"$106,100","$321,700",,,,,Residential,176.90 Square metres,,,,,,,
94,12287785,,,,,,,,,Municipal sewer,,,,,,,Commercial,,,,,,,,
95,12405679,,1982,"$3,601, (2013)","$582, (2013)","$6,720",Electricity,Electric baseboard units,,Municipal sewer,"$61,700","$280,100","Indoor, Heated",,"Double width or more, Pool",Garage,Residential,,,,,,,,
96,12423520,,1955,"$3,683, (2013)","$596, (2013)",,Heating oil,Air circulation,Public transport,Municipal sewer,"$155,600","$135,700",,,,Carport,Residential,346.50 Square metres,,,,,,,
97,12457706,980.0,1978,"$698, (2014)","$150, (2014)",,Electricity,Electric baseboard units,,Municipal sewer,$1,"$85,800",,,,Outdoor,Residential,,,,,,,,
98,12475932,535.0,,,,"$2,280",,,University,Municipal sewer,,,Inground,Water,,,,,,,,,,,
99,12502444,,,,,,,,,Municipal sewer,,,,,,,Commercial,,,,,,,,
100,12566495,650.0,2010,"$1,646, (2013)","$346, (2014)","$1,020",Electricity,Electric baseboard units,,Municipal sewer,"$18,500","$179,600",,,,,Residential,,,,,,,,
101,12568036,,1963,"$3,947, (2013)","$842, (2014)",,Electricity,Electric baseboard units,"Public transport, Park - green area",Municipal sewer,"$162,500","$319,100",,,"Fitted, Double width or more, Proximity","Outdoor, Garage",Residential,338.60 Square metres,,,,,,,
102,12599544,2249.0,,,,"$12,180",Bi-energy,Air circulation,University,Municipal sewer,,,Other - Indoor Uv Flitered,,Pool,Garage,Residential,,,,,,,,
103,12682796,840.0,,,,,Electricity,Electric baseboard units,Public transport,Municipal sewer,,,,,Proximity,Garage,Residential,,,,,,,,
104,12694969,1158.0,1927,"$2,345, (2014)","$698, (2014)","$2,436",,,,Municipal sewer,"$84,800","$261,500",,,,,Residential,,,,,,,,
105,12697923,,,"$3,886, (2014)","$800, (2014)",,Electricity,Space heating baseboards,Public transport,Municipal sewer,"$221,000","$262,000",,,,,Residential,"4,202.00 Square Feet",,,,,,,
106,12717663,848.0,1986,"$1,231, (2013)","$255, (2013)","$1,200",Electricity,Electric baseboard units,"Public transport, Park - green area",Municipal sewer,"$28,700","$115,600",,,,Outdoor,Residential,,,,,,,,
107,12800679,549.0,,,,$1,Electricity,Electric baseboard units,Public transport,Municipal sewer,,,,,,,Residential,"2,162.00 Square Feet",,,,,,,
108,12819495,673.0,2010,"$2,508, (2014)","$550, (2014)","$3,684",Electricity,Electric baseboard units,University,Municipal sewer,"$18,500","$312,900",Indoor,"Panoramic, Mountain",,,Residential,,,,,,,,
109,12891816,1060.0,1996,"$2,750, (2013)","$552, (2014)","$1,932",Electricity,Electric baseboard units,"University, Public transport",Municipal sewer,"$32,400","$279,800",,,"Heated, Proximity",Garage,Residential,,,,,,,,
110,12900541,186.26,2000,"$7,077, (2014)","$1,305, (2014)",,Electricity,Air circulation,,Municipal sewer,"$256,200","$484,000",,,"Fitted, Double width or more, Roofing",Garage,Residential,18x38.98,,,,,,,
111,12922034,269.0,2001,"$3,510, (2013)","$185, (2013)",$612,Electricity,Electric baseboard units,Public transport,Municipal sewer,"$10,400","$79,800",,,,,Commercial,,,,,,,,
112,12945527,536.0,,,,$1,Electricity,Electric baseboard units,"University, Public transport",Municipal sewer,,,"Indoor, Heated","Panoramic, City",,,Residential,,,,,,,,
113,12967920,,1979,"$5,205, (2014)","$1,035, (2014)",,Electricity,Air circulation,,Municipal sewer,"$187,000","$417,800",Inground,,"Heated, Fitted, Pool",Outdoor,Residential,"6,709.00 Square Feet",,,,,,,
114,13063558,1051.0,,"$3,302, (2014)","$638, (2014)","$4,128",Electricity,Electric baseboard units,"University, Public transport",Municipal sewer,"$50,900","$308,200","Inground, Indoor","Water, Panoramic","Single width, Other - E54, Pool",Garage,Residential,,,,,,,,
115,13068483,2390.0,2005,"$5,220, (2014)","$1,098, (2014)",,Electricity,Air circulation,Public transport,Municipal sewer,"$111,500","$533,300",,Other - Playground,"Fitted, Proximity",Garage,Residential,,,,,,,,
116,13101198,,1978,"$3,245, (2014)","$679, (2014)",,,"Space heating baseboards, Electric baseboard units","Public transport, Park - green area",Municipal sewer,"$136,800","$239,400",,Water,"Single width, Heated, Proximity","Outdoor, Garage",Residential,"5,165.12 Square Feet",,,,,,,
117,13111446,,1973,"$2,201, (2014)","$377, (2014)","$2,760",Electricity,Electric baseboard units,"University, Public transport",Municipal sewer,"$82,000","$130,100",,,"Single width, Proximity",Garage,Residential,"2,417.00 Square Feet",,,,,,,
118,13181350,10200.0,2003,"$10,133, (2013)","$2,182, (2014)",,Bi-energy,Air circulation,Public transport,Municipal sewer,"$558,900","$718,500",,Water,"Fitted, Double width or more, Proximity",Outdoor,Residential,"2,281.30 Square metres",,,,,,,
119,13183708,,1910,"$3,886, (2014)","$837, (2014)",,Heating oil,Hot water,,Municipal sewer,"$270,400","$232,800",,,,Outdoor,Residential,300.40 Square metres,,,,,,,
120,13236337,,1947,"$2,885, (2014)","$611, (2014)",,Electricity,Electric baseboard units,"Public transport, Elementary school",Municipal sewer,"$88,700","$287,600",,,,Vignette,Residential,104.00 Square metres,,,,,,,
121,13260768,1200.0,1983,"$1,570, (2014)","$327, (2014)","$1,320",Electricity,Electric baseboard units,"Public transport, Park - green area",Municipal sewer,"$70,300","$102,200",,,,Outdoor,Residential,"14,400.00 Square Feet",,,,,,,
122,13296046,975.0,,,,"$4,092",Electricity,Electric baseboard units,,Municipal sewer,,,Indoor,Water,,,,,,,,,,,
123,13306085,699.0,2014,,,$110,,,,Municipal sewer,,,,,,,Residential,,,,,,,,
124,13365676,822.0,,,,"$4,332",Electricity,Electric baseboard units,,Municipal sewer,,,,Water,Sewage System,Garage,,,,,,,,,
125,13382159,560.0,2011,"$1,336, (2014)","$298, (2013)","$1,068",,,"University, Public transport",Municipal sewer,"$21,900","$131,900",,,,,Residential,,,,,,,,
126,13403912,1100.0,1988,"$2,252, (2013)","$494, (2014)","$2,184",Electricity,Electric baseboard units,University,Municipal sewer,"$53,200","$255,900",,,"Single width, Proximity",Garage,Residential,,,,,,,,
127,13434401,947.2231999999999,1978,"$2,100, (2013)","$435, (2013)","$6,372",Electricity,Electric baseboard units,"Public transport, Park - green area",Municipal sewer,"$106,600","$130,000",Inground,"Water, Panoramic","Single width, Fitted, Pool",Garage,Residential,,,,,,,,
128,13466559,,1931,"$3,365, (2014)","$725, (2014)",,Natural gas,Hot water,,Municipal sewer,"$133,800","$293,500",,,"Fitted, Double width or more, Sewage System",Garage,Residential,223.00 Square metres,,,,,,,
129,13494593,6479.8678,2013,"$1,127, (2014)","$254, (2014)","$1,428",Electricity,,Public transport,Municipal sewer,"$21,700","$131,900",,,"Single width, Proximity",Garage,Residential,,,,,,,,
130,13529728,1150.0,2008,"$2,520, (2014)","$532, (2013)","$2,904",Electricity,Electric baseboard units,"Public transport, Park - green area",Municipal sewer,"$36,900","$260,600",,Panoramic,"Single width, Proximity",Garage,Residential,,,,,,,,
131,13544513,963.0,1999,,,,,,"Hospital, Elementary school",Municipal sewer,,,,,,,Residential,,,,,,,,
132,13584050,,,,,,,,Public transport,Municipal sewer,,,,,,,,,,,,,,,
133,13670572,1259.3763,1977,"$3,366, (2014)","$550, (2014)",,Electricity,,"Public transport, Park - green area",Municipal sewer,"$156,600","$167,800",,,"Heated, Proximity",Garage,Residential,191.02 Square metres,,,,,,,
134,13674813,975.0,,,,"$4,932",Electricity,Electric baseboard units,,Municipal sewer,,,Indoor,Water,Pool,Garage,,,,,,,,,
135,13721412,1284.0,,,,,"Other, Natural gas",Electric baseboard units,"Public transport, Park - green area",Municipal sewer,,,,Water,"Single width, Other, Proximity",Garage,Residential,"12,060.00 Square Feet",,,,,,,
136,13826198,1854.44,1976,"$14,300, (2014)","$752, (2014)",,Electricity,Electric baseboard units,Public transport,Municipal sewer,"$57,700","$381,800",,,,,Commercial,25.90x80.40,,,,,,,
137,13842228,976.0,,,,$12,Electricity,Electric baseboard units,"University, Public transport",Municipal sewer,,,"Indoor, Heated",City,,,Residential,,,,,,,,
138,13844489,1194.7929,1910,"$1, (2013)","$1, (2013)","$3,816",Electricity,Electric baseboard units,University,Municipal sewer,"$246,700","$755,000",,,,,Residential,160.20 Square metres,,,,,,,
139,13845739,,1993,"$3,242, (2014)","$637, (2014)",,Electricity,"Space heating baseboards, Electric baseboard units","Public transport, Park - green area",Municipal sewer,"$110,100","$254,600","Other - Salt Water System, Above-ground",,"New Construction:, No, Pool","New Construction:, No, Outdoor, Garage",Residential,"3,336.00 Square Feet",,,,,,,
140,13871898,1279.0,1976,"$2,875, (2014)","$469, (2014)","$4,332",Electricity,,Public transport,Municipal sewer,"$48,700","$232,100",Other - Outdoor/lifeguard,,"New Construction:, No, Heated, Pool","New Construction:, No, Garage",Residential,,,,,,,,
141,13878431,700.0,2011,"$1,445, (2013)","$317, (2013)",$912,Electricity,Electric baseboard units,Public transport,Municipal sewer,"$20,500","$168,600",,,,Equipment Available,Residential,,,,,,,,
142,14099447,,1910,"$2,921, (2014)","$618, (2014)",,Electricity,Electric baseboard units,Public transport,Municipal sewer,"$154,700","$219,000",,,"Attached, Proximity",Garage,Residential,209.00 Square metres,,,,,,,
143,14118630,1244.0,1976,"$3,504, (2014)","$583, (2014)","$7,716",Electricity,Electric baseboard units,Public transport,Municipal sewer,"$56,700","$265,400",Indoor,"Panoramic, Mountain","Heated, Attached, Pool",Garage,Residential,,,,,,,,
144,14139519,822.0,,,,"$3,504",Electricity,Electric baseboard units,,Municipal sewer,,,,Water,,,,,,,,,,,
145,14259734,,1975,"$3,715, (2014)","$752, (2013)",,,,,Municipal sewer,"$48,500","$386,300",,,,,Residential,248.80 Square metres,,,,,,,
146,14268353,1138.0,1989,"$2,698, (2014)","$567, (2015)","$3,060",Electricity,Electric baseboard units,Public transport,Municipal sewer,"$33,300","$298,300",Indoor,,"Single width, Heated, Pool",Garage,,"1,225.00 Square Feet",,,,,,,
147,14287021,,1950,"$3,096, (2013)","$705, (2013)",,Electricity,Electric baseboard units,"University, Public transport",Municipal sewer,"$195,700","$239,000",,,,,Residential,326.20 Square metres,,,,,,,
148,14337815,981.0,1967,"$2,692, (2014)","$434, (2013)","$6,012",,,"Public transport, Park - green area",Municipal sewer,"$43,800","$197,100","Other - Salt Water, Inground",Panoramic,"New Construction:, No, Single width, Heated, Pool","New Construction:, No, Garage",Residential,,,,,,,,
149,14337977,,1989,"$3,909, (2014)","$633, (2014)","$4,632",Electricity,Electric baseboard units,Public transport,Municipal sewer,"$71,900","$293,300",,,"Single width, Heated, Proximity",Garage,Residential,,,,,,,,
150,14408264,535.0,,,,"$3,084",,,"University, Public transport",Municipal sewer,,,"Inground, Indoor",Water,Pool,Garage,,,,,,,,,
